ID_Exp,X_Final_MPFR,X_Final_Float,X_Final_Double,Lyapunov_Float,Lyapunov_Double
EXP-R3.90-X0.1,7.52716166853904983e-01,1.010115590e-01,3.89903311131886530e-01,0.588839,0.455019
EXP-R3.90-X0.2,4.57729633808817508e-01,3.557789030e-01,9.62536684577425810e-01,0.474349,0.567798
EXP-R3.90-X0.3,9.66466220460390491e-01,4.092330930e-01,5.91838086879864170e-01,0.572036,0.576849
EXP-R3.90-X0.4,9.64582969363934234e-02,3.581292030e-01,5.45889866101128220e-01,0.524123,0.548484
EXP-R3.90-X0.5,8.91185836559392809e-01,9.270744920e-01,8.35629167634312500e-01,0.51104,0.470711
EXP-R3.90-X0.6,9.64582969363934234e-02,3.598558310e-01,5.45889866101128220e-01,0.514076,0.548484
EXP-R3.90-X0.7,9.66466220460390491e-01,4.092330930e-01,8.76787735518098970e-01,0.572036,0.558559
EXP-R3.92-X0.1,9.76907830461468786e-01,3.074997660e-01,3.83866399115599780e-01,0.292834,0.486435
EXP-R3.92-X0.2,9.76632357156360680e-01,2.959937450e-01,7.89726559731671830e-01,0.444403,0.45782
EXP-R3.92-X0.3,9.79719598014810109e-01,7.407595520e-01,9.66434598168032570e-01,0.420429,0.475042
EXP-R3.92-X0.4,2.50074408173499686e-01,8.546500210e-01,8.36647426986475540e-01,0.499198,0.571468
EXP-R3.92-X0.5,9.60726545174029296e-01,5.008650420e-01,7.88664856975525460e-01,0.59175,0.539581
EXP-R3.92-X0.6,2.50074408173499686e-01,9.797563550e-01,8.36647426986475540e-01,0.4775,0.571468
EXP-R3.92-X0.7,9.79719598014810109e-01,7.407595520e-01,9.66434598168032570e-01,0.420429,0.431271
EXP-R3.95-X0.1,7.09130674518367695e-01,5.014821890e-01,1.22866005117391100e-01,0.653627,0.629569
EXP-R3.95-X0.2,9.86836294218581881e-01,2.193297590e-01,2.47996825913738280e-01,0.609447,0.612958
EXP-R3.95-X0.3,9.63384606909680015e-01,3.247576650e-01,9.86917738685539340e-01,0.568585,0.563993
EXP-R3.95-X0.4,2.64769069248327189e-01,4.100641010e-01,2.21440638232487580e-01,0.514653,0.575573
EXP-R3.95-X0.5,5.40165729000484883e-01,5.750409960e-01,5.91622606351043910e-01,0.640181,0.651176
EXP-R3.95-X0.6,2.64769069248327189e-01,4.232473370e-01,6.75257764991901270e-01,0.52788,0.573499
EXP-R3.95-X0.7,9.63384606909680015e-01,6.522358060e-01,4.22613392024874130e-01,0.569725,0.572953
EXP-R3.98-X0.1,7.16896512186683269e-01,9.397000070e-01,1.90615042334080970e-01,0.483443,0.567324
EXP-R3.98-X0.2,5.86936279546936127e-01,8.001650570e-01,2.54299662959062700e-02,0.601941,0.623355
EXP-R3.98-X0.3,7.73270398234899304e-01,7.507805820e-01,2.81410537497444600e-02,0.504161,0.622385
EXP-R3.98-X0.4,6.28725748196877051e-02,2.098167500e-02,4.59024062531327830e-01,0.716196,0.622528
EXP-R3.98-X0.5,4.48722202399842112e-01,7.939068200e-02,8.36290954475906180e-01,0.666764,0.654221
EXP-R3.98-X0.6,6.28725748196877051e-02,2.862899600e-01,4.59024062531327830e-01,0.713058,0.622528
EXP-R3.98-X0.7,7.73270398234899304e-01,2.288636900e-02,9.45708032711304210e-01,0.498593,0.622225
EXP-R4.00-X0.1,1.77388796002879524e-01,2.434376480e-01,2.00049540414362260e-01,0.678666,0.695651
EXP-R4.00-X0.2,1.77388796002879524e-01,2.434376480e-01,1.38223258077153160e-01,0.678666,0.694334
EXP-R4.00-X0.3,3.35274828890548276e-01,3.180593000e-03,1.54040216297134880e-01,0.683682,0.707632
EXP-R4.00-X0.4,2.26816074395646208e-05,2.149802740e-01,9.98014995345438580e-01,0.808652,0.743869
EXP-R4.00-X0.5,0.00000000000000000e+00,0.000000000e+00,0.00000000000000000e+00,0,0
EXP-R4.00-X0.6,2.26816074395646208e-05,8.757000570e-01,9.98014995345438580e-01,0.805049,0.743869
EXP-R4.00-X0.7,3.35274828890548276e-01,3.180593000e-03,9.78801014310321960e-01,0.683682,0.706419
